"id","bedrooms","square_footage_min","square_footage_max","flow_gpd"
283,9,19802,20551,1780
284,9,20552,21301,1840
285,9,21302,22051,1900
286,9,22052,22801,1960
287,9,22802,23551,2020
288,9,23552,24301,2080
289,10,0,750,760
290,10,751,1200,760
291,10,1201,2250,760
292,10,2251,3300,760
293,10,3301,4051,760
294,10,4052,4801,760
295,10,4802,5551,760
296,10,5552,6301,760
297,10,6302,7051,760
298,10,7052,7801,760
299,10,7802,8551,820
300,10,8552,9301,880
301,10,9302,10051,940
302,10,10052,10801,1000
303,10,10802,11551,1060
304,10,11552,12301,1120
305,10,12302,13051,1180
306,10,13052,13801,1240
307,10,13802,14551,1300
308,10,14552,15301,1360
309,10,15302,16051,1420
310,10,16052,16801,1480
311,10,16802,17551,1540
312,10,17552,18301,1600
313,10,18302,19051,1660
314,10,19052,19801,1720
315,10,19802,20551,1780
316,10,20552,21301,1840
317,10,21302,22051,1900
318,10,22052,22801,1960
319,10,22802,23551,2020
320,10,23552,24301,2080
321,11,0,750,820
322,11,751,1200,820
323,11,1201,2250,820
324,11,2251,3300,820
325,11,3301,4051,820
326,11,4052,4801,820
327,11,4802,5551,820
328,11,5552,6301,820
329,11,6302,7051,820
330,11,7052,7801,820
331,11,7802,8551,820
332,11,8552,9301,880
333,11,9302,10051,940
334,11,10052,10801,1000
335,11,10802,11551,1060
336,11,11552,12301,1120
337,11,12302,13051,1180
338,11,13052,13801,1240
339,11,13802,14551,1300
340,11,14552,15301,1360
341,11,15302,16051,1420
342,11,16052,16801,1480
343,11,16802,17551,1540
344,11,17552,18301,1600
345,11,18302,19051,1660
346,11,19052,19801,1720
347,11,19802,20551,1780
348,11,20552,21301,1840
349,11,21302,22051,1900
350,11,22052,22801,1960
351,11,22802,23551,2020
352,11,23552,24301,2080
353,12,0,750,880
354,12,751,1200,880
355,12,1201,2250,880
356,12,2251,3300,880
357,12,3301,4051,880
358,12,4052,4801,880
359,12,4802,5551,880
360,12,5552,6301,880
361,12,6302,7051,880
362,12,7052,7801,880
363,12,7802,8551,880
364,12,8552,9301,880
365,12,9302,10051,940
366,12,10052,10801,1000
367,12,10802,11551,1060
368,12,11552,12301,1120
369,12,12302,13051,1180
370,12,13052,13801,1240
371,12,13802,14551,1300
372,12,14552,15301,1360
373,12,15302,16051,1420
374,12,16052,16801,1480
375,12,16802,17551,1540
376,12,17552,18301,1600
377,12,18302,19051,1660
378,12,19052,19801,1720
379,12,19802,20551,1780
380,12,20552,21301,1840
381,12,21302,22051,1900
382,12,22052,22801,1960
383,12,22802,23551,2020
384,12,23552,24301,2080
385,13,0,750,940
386,13,751,1200,940
387,13,1201,2250,940
388,13,2251,3300,940
389,13,3301,4051,940
390,13,4052,4801,940
391,13,4802,5551,940
392,13,5552,6301,940
393,13,6302,7051,940
394,13,7052,7801,940
395,13,7802,8551,940
396,13,8552,9301,940
397,13,9302,10051,940
398,13,10052,10801,1000
399,13,10802,11551,1060
